1 1 rl0zoT6nFur+XVj+WWnNN2LEOUBnatzHr13vHpWxLFU= 0 90 90 1 3 9 0.024990 0.033390 0.000386 1
1 2 rl0zoT6nFur+XVj+WWnNN2LEOUBnatzHr13vHpWxLFU= 0 110 110 1 3 9 0.024990 0.033390 0.000386 1
2 1 hZtBgA3khsxuBz9D+tnrQayylJllPe/z5WqBjicYeYQ= 0 305 305 1 3 9 0.024990 0.033390 0.000386 1
2 2 hZtBgA3khsxuBz9D+tnrQayylJllPe/z5WqBjicYeYQ= 0 315 315 1 3 9 0.024990 0.033390 0.000386 1
2 3 hZtBgA3khsxuBz9D+tnrQayylJllPe/z5WqBjicYeYQ= 0 315 315 1 3 9 0.024990 0.033390 0.000386 1
2 4 hZtBgA3khsxuBz9D+tnrQayylJllPe/z5WqBjicYeYQ= 0 315 315 1 3 9 0.024990 0.033390 0.000386 1
3 1 onUxv1IUInpW0nT8Dd2CDvCXFR7WDWpPh62/MVCi8WI= 10 360 360 1 3 9 0.024990 0.033390 0.000386 1
4 1 IcdSSTivuHZryH7AnJWx2fPX3XX5oqcOa2PgVsLC9DM= 110 260 260 1 3 9 0.024990 0.033390 0.000386 1
4 2 IcdSSTivuHZryH7AnJWx2fPX3XX5oqcOa2PgVsLC9DM= 110 260 260 1 3 9 0.024990 0.033390 0.000386 1
4 3 IcdSSTivuHZryH7AnJWx2fPX3XX5oqcOa2PgVsLC9DM= 110 260 260 1 3 9 0.024990 0.033390 0.000386 1
5 1 MW8tcTvQrf5pq7+4iGzi8Y64+fAPCFnOjEhFtpAIolU= 310 140 140 1 3 9 0.024990 0.033390 0.000386 1
5 2 MW8tcTvQrf5pq7+4iGzi8Y64+fAPCFnOjEhFtpAIolU= 310 140 140 1 3 9 0.024990 0.033390 0.000386 1
6 1 Tf3CI7a+EM7D+JTnuJ8pRIgf9Ilm8oxW0j+S47+qJTc= 320 240 240 1 3 9 0.024990 0.033390 0.000386 1
6 2 Tf3CI7a+EM7D+JTnuJ8pRIgf9Ilm8oxW0j+S47+qJTc= 410 269 180 2 3 9 0.024990 0.033390 0.000386 1
6 3 Tf3CI7a+EM7D+JTnuJ8pRIgf9Ilm8oxW0j+S47+qJTc= 320 245 245 1 3 9 0.024990 0.033390 0.000386 1
6 4 Tf3CI7a+EM7D+JTnuJ8pRIgf9Ilm8oxW0j+S47+qJTc= 410 250 250 1 3 9 0.024990 0.033390 0.000386 1
6 5 Tf3CI7a+EM7D+JTnuJ8pRIgf9Ilm8oxW0j+S47+qJTc= 410 160 160 1 3 9 0.024990 0.033390 0.000386 1
7 1 gzYabLOpBIEit405AWM7l75If2SZsXwxYP3qphgfaq4= 420 200 200 1 3 9 0.024990 0.033390 0.000386 1
7 2 gzYabLOpBIEit405AWM7l75If2SZsXwxYP3qphgfaq4= 420 205 205 1 3 9 0.024990 0.033390 0.000386 1
